Título;Downloads;URL
The King in Yellow;19032 downloads;https://www.gutenberg.org/ebooks/8492
A Study in Scarlet;18974 downloads;https://www.gutenberg.org/ebooks/244
The Doorway;18843 downloads;https://www.gutenberg.org/ebooks/29138
The Lost Continent;18750 downloads;https://www.gutenberg.org/ebooks/149
The Most Sentimental Man;18699 downloads;https://www.gutenberg.org/ebooks/29791
Masters of Space;18582 downloads;https://www.gutenberg.org/ebooks/22754
Magic;18526 downloads;https://www.gutenberg.org/ebooks/19094
The Scarlet Letter;18457 downloads;https://www.gutenberg.org/ebooks/25344
Wizard;18388 downloads;https://www.gutenberg.org/ebooks/24375
Occasion ... for Disaster;18316 downloads;https://www.gutenberg.org/ebooks/30434
The Holes Around Mars;18284 downloads;https://www.gutenberg.org/ebooks/32360
The Man the Martians Made;18234 downloads;https://www.gutenberg.org/ebooks/29432
Thin Edge;18233 downloads;https://www.gutenberg.org/ebooks/30869
Moby Word Lists;18155 downloads;https://www.gutenberg.org/ebooks/3201
Heart of Darkness;18154 downloads;https://www.gutenberg.org/ebooks/219
"""And That's How It Was, Officer""";18129 downloads;https://www.gutenberg.org/ebooks/32562
Keep Your Shape;18119 downloads;https://www.gutenberg.org/ebooks/32346
The Hound of the Baskervilles;18096 downloads;https://www.gutenberg.org/ebooks/2852
Little Women;17972 downloads;https://www.gutenberg.org/ebooks/514
Carmilla;17497 downloads;https://www.gutenberg.org/ebooks/10007
The Prince;17053 downloads;https://www.gutenberg.org/ebooks/1232
The Works of Edgar Allan Poe — Volume 2;17046 downloads;https://www.gutenberg.org/ebooks/2148
Anne of Green Gables;16998 downloads;https://www.gutenberg.org/ebooks/45
"Aesop's Fables; a new translation";16250 downloads;https://www.gutenberg.org/ebooks/11339
The Innocents Abroad;15465 downloads;https://www.gutenberg.org/ebooks/3176
The Rámáyan of Válmíki, translated into English verse;15461 downloads;https://www.gutenberg.org/ebooks/24869
Beyond Good and Evil;15012 downloads;https://www.gutenberg.org/ebooks/4363
Symposium;14792 downloads;https://www.gutenberg.org/ebooks/1600
Madame Bovary;14490 downloads;https://www.gutenberg.org/ebooks/2413
Don Juan;14267 downloads;https://www.gutenberg.org/ebooks/21700
Spenser's The Faerie Queene, Book I;14189 downloads;https://www.gutenberg.org/ebooks/15272
Struwwelpeter: Merry Stories and Funny Pictures;14158 downloads;https://www.gutenberg.org/ebooks/12116
The Thousand and One Nights, Vol. I.;13975 downloads;https://www.gutenberg.org/ebooks/34206
The Elements of Style;13930 downloads;https://www.gutenberg.org/ebooks/37134
Poems by Emily Dickinson, Three Series, Complete;13834 downloads;https://www.gutenberg.org/ebooks/12242
"The Birth of Tragedy; or, Hellenism and Pessimism";13736 downloads;https://www.gutenberg.org/ebooks/51356
Essays of Michel de Montaigne — Complete;13529 downloads;https://www.gutenberg.org/ebooks/3600
De Profundis;13454 downloads;https://www.gutenberg.org/ebooks/921
Leaves of Grass;13424 downloads;https://www.gutenberg.org/ebooks/1322
Songs of Innocence and of Experience;13400 downloads;https://www.gutenberg.org/ebooks/1934
